                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67045,                 0.6519,                      1,                0.66055,              0.0002312,              0.0002312,              0.0002312
                      2,                0.60641,                0.74051,                      1,                0.59971,             0.00046455,             0.00046455,             0.00046455
                      3,                0.51769,                0.76582,                      1,                0.55586,              0.0006932,              0.0006932,              0.0006932
                      4,                0.44387,                0.77215,                      1,                0.51953,             0.00069279,             0.00069279,             0.00069279
                      5,                0.36503,                0.75949,                      1,                0.52944,             0.00069279,             0.00069279,             0.00069279
                      6,                0.33763,                0.82911,                      1,                 0.4749,             0.00068573,             0.00068573,             0.00068573
                      7,                0.33333,                0.86076,                      1,                0.47461,             0.00067866,             0.00067866,             0.00067866
                      8,                 0.2525,                0.81013,                      1,                0.48101,             0.00067159,             0.00067159,             0.00067159
                      9,                0.27823,                0.81646,                      1,                0.48374,             0.00066452,             0.00066452,             0.00066452
                     10,                0.22811,                0.86709,                      1,                 0.4502,             0.00065745,             0.00065745,             0.00065745
                     11,                0.20896,                0.89241,                      1,                 0.4293,             0.00065038,             0.00065038,             0.00065038
                     12,                0.20668,                0.86076,                      1,                0.45864,             0.00064331,             0.00064331,             0.00064331
                     13,                0.18886,                 0.8481,                      1,                0.45156,             0.00063625,             0.00063625,             0.00063625
                     14,                0.17856,                0.85443,                      1,                0.45386,             0.00062918,             0.00062918,             0.00062918
                     15,                0.17128,                0.86076,                      1,                0.45986,             0.00062211,             0.00062211,             0.00062211
                     16,                0.15621,                 0.8481,                      1,                0.45479,             0.00061504,             0.00061504,             0.00061504
                     17,                0.20017,                0.87975,                      1,                0.44248,             0.00060797,             0.00060797,             0.00060797
                     18,                0.15895,                0.85443,                      1,                0.45747,              0.0006009,              0.0006009,              0.0006009
                     19,                0.10052,                 0.8481,                      1,                0.44951,             0.00059383,             0.00059383,             0.00059383
                     20,                0.15027,                0.83544,                      1,                0.46514,             0.00058677,             0.00058677,             0.00058677
                     21,                0.12291,                0.86076,                      1,                0.45176,              0.0005797,              0.0005797,              0.0005797
                     22,                0.09907,                 0.8481,                      1,                0.45815,             0.00057263,             0.00057263,             0.00057263
                     23,                 0.1036,                0.86076,                      1,                0.44175,             0.00056556,             0.00056556,             0.00056556
                     24,                 0.0956,                0.81646,                      1,                0.47192,             0.00055849,             0.00055849,             0.00055849
                     25,                0.08596,                0.78481,                      1,                0.50859,             0.00055142,             0.00055142,             0.00055142
                     26,                0.12611,                0.81646,                      1,                0.48872,             0.00054435,             0.00054435,             0.00054435
                     27,                0.07794,                0.84177,                      1,                0.47173,             0.00053728,             0.00053728,             0.00053728
                     28,                0.14298,                0.82911,                      1,                0.46909,             0.00053022,             0.00053022,             0.00053022
                     29,                0.09175,                0.82911,                      1,                0.46558,             0.00052315,             0.00052315,             0.00052315
                     30,                0.10474,                0.85443,                      1,                0.45215,             0.00051608,             0.00051608,             0.00051608
                     31,                0.09549,                0.82911,                      1,                0.47397,             0.00050901,             0.00050901,             0.00050901
                     32,                0.11032,                0.84177,                      1,                0.47632,             0.00050194,             0.00050194,             0.00050194
                     33,                0.08112,                0.86076,                      1,                 0.4498,             0.00049487,             0.00049487,             0.00049487
                     34,                0.06983,                0.85443,                      1,                0.45688,              0.0004878,              0.0004878,              0.0004878
                     35,                0.08193,                 0.8481,                      1,                0.44663,             0.00048074,             0.00048074,             0.00048074
                     36,                0.05494,                0.87975,                      1,                0.43101,             0.00047367,             0.00047367,             0.00047367
                     37,                0.10131,                0.86076,                      1,                0.43887,              0.0004666,              0.0004666,              0.0004666
                     38,                0.06697,                 0.8481,                      1,                0.45181,             0.00045953,             0.00045953,             0.00045953
                     39,                0.06942,                0.84177,                      1,                0.45073,             0.00045246,             0.00045246,             0.00045246
                     40,                 0.0564,                0.86076,                      1,                0.44956,             0.00044539,             0.00044539,             0.00044539
                     41,                0.07387,                0.86709,                      1,                0.43843,             0.00043832,             0.00043832,             0.00043832
                     42,                0.09313,                0.86076,                      1,                0.44927,             0.00043126,             0.00043126,             0.00043126
                     43,                0.07357,                0.86076,                      1,                0.45444,             0.00042419,             0.00042419,             0.00042419
                     44,                0.08168,                0.83544,                      1,                0.45474,             0.00041712,             0.00041712,             0.00041712
                     45,                0.05805,                0.84177,                      1,                0.45767,             0.00041005,             0.00041005,             0.00041005
                     46,                0.05923,                0.84177,                      1,                0.45771,             0.00040298,             0.00040298,             0.00040298
                     47,                0.05557,                0.87975,                      1,                0.43032,             0.00039591,             0.00039591,             0.00039591
                     48,                0.06266,                0.88608,                      1,                0.43457,             0.00038884,             0.00038884,             0.00038884
                     49,                0.06104,                0.86076,                      1,                0.44966,             0.00038178,             0.00038178,             0.00038178
                     50,                0.03149,                0.84177,                      1,                 0.4499,             0.00037471,             0.00037471,             0.00037471
                     51,                0.05351,                0.87342,                      1,                0.43652,             0.00036764,             0.00036764,             0.00036764
                     52,                0.05743,                0.85443,                      1,                0.44531,             0.00036057,             0.00036057,             0.00036057
                     53,                0.06243,                0.85443,                      1,                0.44897,              0.0003535,              0.0003535,              0.0003535
                     54,                0.05461,                 0.8481,                      1,                0.45054,             0.00034643,             0.00034643,             0.00034643
                     55,                0.04356,                0.86709,                      1,                0.44624,             0.00033936,             0.00033936,             0.00033936
                     56,                0.04116,                 0.8481,                      1,                 0.4479,              0.0003323,              0.0003323,              0.0003323
                     57,                0.06306,                0.86076,                      1,                0.44331,             0.00032523,             0.00032523,             0.00032523
                     58,                0.03633,                0.85443,                      1,                0.44414,             0.00031816,             0.00031816,             0.00031816
                     59,                0.03982,                0.84177,                      1,                0.45063,             0.00031109,             0.00031109,             0.00031109
                     60,                0.05912,                0.84177,                      1,                0.45088,             0.00030402,             0.00030402,             0.00030402
                     61,                0.03746,                0.85443,                      1,                0.46147,             0.00029695,             0.00029695,             0.00029695
                     62,                0.04735,                0.83544,                      1,                0.46514,             0.00028988,             0.00028988,             0.00028988
                     63,                0.05257,                0.84177,                      1,                 0.4625,             0.00028282,             0.00028282,             0.00028282
                     64,                0.03891,                 0.8481,                      1,                0.45601,             0.00027575,             0.00027575,             0.00027575
                     65,                0.05274,                0.84177,                      1,                0.45376,             0.00026868,             0.00026868,             0.00026868
                     66,                0.02953,                0.84177,                      1,                0.45562,             0.00026161,             0.00026161,             0.00026161
                     67,                0.04235,                0.83544,                      1,                0.45132,             0.00025454,             0.00025454,             0.00025454
                     68,                0.04478,                0.84177,                      1,                0.45312,             0.00024747,             0.00024747,             0.00024747
                     69,                 0.0389,                0.84177,                      1,                0.45469,              0.0002404,              0.0002404,              0.0002404
                     70,                0.04731,                0.82911,                      1,                0.46577,             0.00023334,             0.00023334,             0.00023334
                     71,                0.02736,                0.83544,                      1,                0.45654,             0.00022627,             0.00022627,             0.00022627
                     72,                0.04643,                0.84177,                      1,                0.45776,              0.0002192,              0.0002192,              0.0002192
                     73,                0.03718,                0.86076,                      1,                0.45063,             0.00021213,             0.00021213,             0.00021213
                     74,                0.02561,                0.84177,                      1,                0.45752,             0.00020506,             0.00020506,             0.00020506
                     75,                0.04471,                0.86076,                      1,                0.44595,             0.00019799,             0.00019799,             0.00019799
                     76,                0.02229,                0.85443,                      1,                0.45122,             0.00019092,             0.00019092,             0.00019092
                     77,                0.02703,                0.86076,                      1,                0.43838,             0.00018385,             0.00018385,             0.00018385
                     78,                0.02533,                0.86709,                      1,                0.44248,             0.00017679,             0.00017679,             0.00017679
                     79,                0.03943,                0.86709,                      1,                0.43877,             0.00016972,             0.00016972,             0.00016972
                     80,                0.01908,                0.84177,                      1,                0.43975,             0.00016265,             0.00016265,             0.00016265
                     81,                0.02964,                0.87975,                      1,                0.44155,             0.00015558,             0.00015558,             0.00015558
                     82,                0.02178,                0.86709,                      1,                 0.4416,             0.00014851,             0.00014851,             0.00014851
                     83,                0.03078,                0.86076,                      1,                0.44756,             0.00014144,             0.00014144,             0.00014144
                     84,                0.02429,                0.85443,                      1,                0.44688,             0.00013437,             0.00013437,             0.00013437
                     85,                0.02287,                0.85443,                      1,                0.44805,             0.00012731,             0.00012731,             0.00012731
                     86,                 0.0364,                0.85443,                      1,                0.44419,             0.00012024,             0.00012024,             0.00012024
                     87,                0.02033,                0.85443,                      1,                0.44604,             0.00011317,             0.00011317,             0.00011317
                     88,                0.01945,                0.85443,                      1,                0.44375,              0.0001061,              0.0001061,              0.0001061
                     89,                0.02453,                 0.8481,                      1,                0.44517,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.01191,                0.84177,                      1,                0.44585,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                0.02693,                0.83544,                      1,                 0.4499,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.03736,                 0.8481,                      1,                0.44561,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.01907,                0.84177,                      1,                0.44609,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.02401,                0.85443,                      1,                0.44692,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                 0.0401,                0.85443,                      1,                0.44902,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.02786,                0.84177,                      1,                0.44966,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.02042,                0.85443,                      1,                0.44712,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.01589,                0.83544,                      1,                0.44966,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.02925,                0.84177,                      1,                0.45078,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                 0.0249,                0.84177,                      1,                0.44985,             2.1277e-05,             2.1277e-05,             2.1277e-05
